1.183  -13.3238   -8.5982
1.184  -13.2369   -8.7883
1.185  -13.1480   -8.9810
1.186  -13.0572   -9.1763
1.187  -12.9645   -9.3743
1.188  -12.8697   -9.5752
1.189  -12.7730   -9.7791
1.190  -12.6742   -9.9861
1.191  -12.5733  -10.1964
1.192  -12.4702  -10.4100
1.193  -12.3651  -10.6272
1.194  -12.2577  -10.8480
1.195  -12.1481  -11.0727
1.196  -12.0362  -11.3013
1.197  -11.9221  -11.5340
1.198  -11.8056  -11.7710
1.199  -11.6867  -12.0125
1.200  -11.5653  -12.2586
1.201  -11.4415  -12.5095
1.202  -11.3151  -12.7654
1.203  -11.1862  -13.0265
1.204  -11.0546  -13.2929
1.205  -10.9203  -13.5649
1.206  -10.7833  -13.8428
1.207  -10.6435  -14.1266
1.208  -10.5008  -14.4167
1.209  -10.3551  -14.7132
1.210  -10.2065  -15.0164
1.211  -10.0548  -15.3266
1.212   -9.9000  -15.6439
1.213   -9.7419  -15.9687
1.214   -9.5806  -16.3012
1.215   -9.4159  -16.6417
1.216   -9.2478  -16.9903
1.217   -9.0761  -17.3475
1.218   -8.9008  -17.7134
1.219   -8.7218  -18.0884
1.220   -8.5390  -18.4726
1.221   -8.3524  -18.8664
1.222   -8.1617  -19.2700
1.223   -7.9670  -19.6836
1.224   -7.7680  -20.1074
1.225   -7.5648  -20.5417
1.226   -7.3572  -20.9866
1.227   -7.1451  -21.4422
1.228   -6.9284  -21.9086
1.229   -6.7069  -22.3858
1.230   -6.4806  -22.8737
1.231   -6.2494  -23.3721
1.232   -6.0132  -23.8808
1.233   -5.7718  -24.3994
1.234   -5.5252  -24.9272
1.235   -5.2733  -25.4634
1.236   -5.0160  -26.0069
1.237   -4.7531  -26.5565
1.238   -4.4848  -27.1107
1.239   -4.2109  -27.6742
1.240   -3.9313  -28.2596
1.241   -3.6457  -28.8753
1.242   -3.3538  -29.5241
1.243   -3.0553  -30.2091
1.244   -2.7496  -30.9337
1.245   -2.4366  -31.7016
1.246   -2.1156  -32.5172
1.247   -1.7862  -33.3856
1.248   -1.4479  -34.3123
1.249   -1.1000  -35.3041
1.250   -0.7418  -36.3685
1.251   -0.3726  -37.5145
1.252    0.0085  -38.7525
1.253    0.4024  -40.0950
1.254    0.8104  -41.5567
1.255    1.2336  -43.1553
1.256    1.6735  -44.9124
1.257    2.1318  -46.8544
1.258    2.6106  -49.0139
1.259    3.1121  -51.4319
1.260    3.6392  -54.1604
1.261    4.1953  -57.2666
1.262    4.7845  -60.8391
1.263    5.4121  -64.9965
1.264    6.0845  -69.9020
1.265    6.8101  -75.7862
1.266    7.6002  -82.9868
1.267    8.4699  -92.0184
1.268    9.4406 -103.7075
1.269   10.5440 -119.4736
1.270   11.8300 -141.9870
1.271   13.3837 -176.9769
1.272   15.3696 -239.6388
1.273   18.1765 -392.1084
1.274   23.2117       nan
1.275       nan       nan
1.276       nan       nan
1.277       nan       nan
1.278       nan       nan
1.279       nan       nan
1.280       nan       nan
1.281       nan       nan
1.282       nan       nan
1.283       nan       nan
1.284       nan       nan
1.285       nan       nan
1.286       nan       nan
1.287       nan       nan
1.288       nan       nan
1.289       nan       nan
1.290       nan       nan
1.291       nan       nan
1.292       nan       nan
1.293       nan       nan
1.294       nan       nan
1.295       nan       nan
1.296       nan       nan
1.297       nan       nan
1.298       nan       nan
1.299       nan       nan
1.300       nan       nan
1.301       nan       nan
1.302       nan       nan
1.303       nan       nan
1.304       nan       nan
1.305       nan       nan
1.306       nan       nan
1.307       nan       nan
1.308       nan       nan
1.309       nan       nan
1.310       nan       nan
1.311       nan       nan
1.312       nan       nan
1.313       nan       nan
1.314       nan       nan
1.315       nan       nan
1.316       nan       nan
1.317       nan       nan
1.318       nan       nan
1.319       nan       nan
1.320       nan       nan
1.321       nan       nan
1.322       nan       nan
1.323       nan       nan
1.324       nan       nan
1.325       nan       nan
1.326       nan       nan
1.327       nan       nan
1.328       nan       nan
1.329       nan       nan
1.330       nan       nan
1.331   39.4689       nan
1.332   26.5204  834.0684
1.333   22.7875  298.5690
1.334   20.5490  191.3982
1.335   18.9596  140.5976
1.336   17.7371  110.3655
